Date,Product ID,Energy Used (kWh/year),Product Lifespan (years),CO2 Emissions from Product Use (kg CO2),Recycling Rate (%)
2025-03-01,E+H001,120,5,600,70
2025-03-02,E+H002,150,7,1050,80
2025-03-03,E+H003,100,6,600,75
2025-03-04,E+H004,130,8,1040,85
2025-03-05,E+H005,110,5,550,70
2025-03-06,E+H006,140,7,980,78
2025-03-07,E+H007,120,6,720,80
2025-03-08,E+H008,115,6,690,76
2025-03-09,E+H009,135,8,1080,82
2025-03-10,E+H010,125,5,625,74
2025-03-11,E+H001,120,5,600,70
2025-03-12,E+H002,150,7,1050,80
2025-03-13,E+H003,100,6,600,75
2025-03-14,E+H004,130,8,1040,85
2025-03-15,E+H005,110,5,550,70
2025-03-16,E+H006,140,7,980,78
2025-03-17,E+H007,120,6,720,80
2025-03-18,E+H008,115,6,690,76
2025-03-19,E+H009,135,8,1080,82
2025-03-20,E+H010,125,5,625,74
2025-03-21,E+H001,120,5,600,70
2025-03-22,E+H002,150,7,1050,80
2025-03-23,E+H003,100,6,600,75
2025-03-24,E+H004,130,8,1040,85
2025-03-25,E+H005,110,5,550,70
2025-03-26,E+H006,140,7,980,78
2025-03-27,E+H007,120,6,720,80
2025-03-28,E+H008,115,6,690,76
2025-03-29,E+H009,135,8,1080,82
2025-03-30,E+H010,125,5,625,74
2025-03-31,E+H001,120,5,600,70
